household;members;ca_rmnd;ca_actual
1;6;14660;6790
2;9;22830;13460
3;5;14940;4560
4;7;16430;8530
5;4;10980;7260
6;7;15960;16910
7;3;8200;7560
8;8;21260;19140
9;6;11960;15300
10;7;17230;9810
11;5;11360;8480
12;10;24460;19300
13;10;24180;24300
14;7;15180;16170
15;10;26940;28800
16;12;31930;18650
17;4;8970;8540
18;9;23000;12130
19;3;7500;8570
20;10;26090;22130
21;6;14280;15870
22;5;11890;11710
23;4;10700;22340
24;5;10960;7730
25;6;13760;26340
26;21;50990;24320
27;11;26710;20690
28;4;9440;4520
29;12;27930;24450
30;6;14810;13130
