"household"	"members"	"ca_rmnd"	"ca_actual"	"group"	"distance"
7	3	8200	7560	"A"	8.451
19	3	7500	8570	"A"	16.62
5	4	10980	7260	"A"	0.246
17	4	8970	8540	"A"	18.727
23	4	10700	22340	"A"	4.803
28	4	9440	4520	"A"	8.112
3	5	14940	4560	"A"	16.853
11	5	11360	8480	"A"	0.337
22	5	11890	11710	"A"	16.592
24	5	10960	7730	"A"	6.311
1	6	14660	6790	"A"	9.851
9	6	11960	15300	"A"	22.873
21	6	14280	15870	"A"	21.338
25	6	13760	26340	"A"	16.429
30	6	14810	13130	"A"	6.683
4	7	16430	8530	"A"	7.863
6	7	15960	16910	"A"	7.344
10	7	17230	9810	"A"	8.13
14	7	15180	16170	"A"	16.941
8	8	21260	19140	"A"	22.416
2	9	22830	13460	"A"	11.712
18	9	23000	12130	"A"	14.023
12	10	24460	19300	"A"	7.055
13	10	24180	24300	"A"	8.355
15	10	26940	28800	"A"	12.972
20	10	26090	22130	"A"	9.299
27	11	26710	20690	"A"	4.552
16	12	31930	18650	"A"	13.06
29	12	27930	24450	"A"	4.098
26	21	50990	24320	"A"	19.707
